doc_id,label,label_id,thread_group_id,thread_group_size,thread_group_n_classes,split
doc_00000,sci.crypt,5,thread_group_00118,234,1,train
doc_00001,comp.sys.ibm.pc.hardware,2,thread_group_00000,4,1,train
doc_00002,comp.sys.ibm.pc.hardware,2,thread_group_00001,1,1,train
doc_00003,comp.graphics,0,thread_group_00002,4,1,train
doc_00004,comp.windows.x,4,thread_group_00003,1,1,train
doc_00005,comp.sys.mac.hardware,3,thread_group_03111,2,1,train
doc_00006,sci.crypt,5,thread_group_00118,234,1,train
doc_00007,sci.crypt,5,thread_group_02708,9,1,train
doc_00008,sci.crypt,5,thread_group_00004,3,1,train
doc_00009,sci.electronics,6,thread_group_00005,2,1,val
doc_00010,comp.graphics,0,thread_group_00006,1,1,val
doc_00011,sci.crypt,5,thread_group_02005,2,1,val
doc_00012,comp.windows.x,4,thread_group_00007,5,1,train
doc_00013,comp.sys.ibm.pc.hardware,2,thread_group_00008,1,1,train
doc_00014,sci.electronics,6,thread_group_00009,6,1,train
doc_00015,comp.sys.mac.hardware,3,thread_group_00010,1,1,val
doc_00016,sci.crypt,5,thread_group_00118,234,1,train
doc_00017,comp.sys.ibm.pc.hardware,2,thread_group_02541,2,1,test
doc_00018,comp.os.ms-windows.misc,1,thread_group_00011,4,1,test
doc_00019,comp.graphics,0,thread_group_00012,1,1,val
doc_00020,comp.sys.mac.hardware,3,thread_group_02970,2,1,train
doc_00021,comp.sys.mac.hardware,3,thread_group_01014,7,1,train
doc_00022,comp.sys.mac.hardware,3,thread_group_00013,1,1,train
doc_00023,comp.graphics,0,thread_group_00014,1,1,train
doc_00024,sci.crypt,5,thread_group_03245,2,1,train
doc_00025,comp.os.ms-windows.misc,1,thread_group_00015,4,1,val
doc_00026,comp.graphics,0,thread_group_00976,4,1,test
doc_00027,comp.sys.mac.hardware,3,thread_group_00016,1,1,train
doc_00028,comp.os.ms-windows.misc,1,thread_group_00017,1,1,train
doc_00029,comp.sys.ibm.pc.hardware,2,thread_group_00018,1,1,test
doc_00030,comp.graphics,0,thread_group_03829,2,1,train
doc_00031,sci.electronics,6,thread_group_00019,8,1,train
doc_00032,sci.electronics,6,thread_group_00509,46,1,train
doc_00033,comp.sys.mac.hardware,3,thread_group_00020,1,1,train
doc_00034,comp.os.ms-windows.misc,1,thread_group_00021,2,1,train
doc_00035,comp.sys.mac.hardware,3,thread_group_00022,1,1,val
doc_00036,comp.sys.ibm.pc.hardware,2,thread_group_00854,7,1,train
doc_00037,sci.crypt,5,thread_group_00118,234,1,train
doc_00038,sci.electronics,6,thread_group_00550,13,1,test
doc_00039,comp.sys.mac.hardware,3,thread_group_00023,3,1,train
doc_00040,comp.os.ms-windows.misc,1,thread_group_00024,1,1,train
doc_00041,comp.graphics,0,thread_group_00025,5,1,train
doc_00042,comp.os.ms-windows.misc,1,thread_group_00026,3,1,train
doc_00043,sci.electronics,6,thread_group_00459,2,1,test
doc_00044,comp.sys.mac.hardware,3,thread_group_01667,3,1,train
doc_00045,comp.sys.ibm.pc.hardware,2,thread_group_00027,1,1,train
doc_00046,comp.sys.ibm.pc.hardware,2,thread_group_00028,1,1,test
doc_00047,sci.electronics,6,thread_group_00509,46,1,train
doc_00048,comp.graphics,0,thread_group_00029,1,1,val
doc_00049,sci.crypt,5,thread_group_00118,234,1,train
doc_00050,comp.graphics,0,thread_group_02246,2,1,train
doc_00051,comp.sys.mac.hardware,3,thread_group_00430,27,1,train
doc_00052,comp.sys.mac.hardware,3,thread_group_00430,27,1,train
doc_00053,comp.windows.x,4,thread_group_01887,2,1,train
doc_00054,comp.windows.x,4,thread_group_01247,14,1,train
doc_00055,comp.graphics,0,thread_group_02049,2,1,train
doc_00056,comp.os.ms-windows.misc,1,thread_group_00030,1,1,val
doc_00057,comp.os.ms-windows.misc,1,thread_group_00212,7,1,train
doc_00058,comp.graphics,0,thread_group_00094,2,1,test
doc_00059,comp.sys.mac.hardware,3,thread_group_00731,8,1,train
doc_00060,comp.os.ms-windows.misc,1,thread_group_00031,1,1,train
doc_00061,comp.sys.mac.hardware,3,thread_group_00032,3,1,train
doc_00062,comp.sys.ibm.pc.hardware,2,thread_group_00033,1,1,train
doc_00063,comp.windows.x,4,thread_group_00034,1,1,train
doc_00064,comp.graphics,0,thread_group_00035,1,1,train
doc_00065,comp.windows.x,4,thread_group_02488,2,1,train
doc_00066,comp.windows.x,4,thread_group_03624,2,1,train
doc_00067,comp.windows.x,4,thread_group_01139,2,1,test
doc_00068,comp.sys.mac.hardware,3,thread_group_00036,3,1,train
doc_00069,comp.os.ms-windows.misc,1,thread_group_00037,1,1,train
doc_00070,comp.sys.mac.hardware,3,thread_group_03187,2,1,test
doc_00071,sci.crypt,5,thread_group_00038,1,1,train
doc_00072,sci.crypt,5,thread_group_00118,234,1,train
doc_00073,comp.sys.ibm.pc.hardware,2,thread_group_00039,1,1,train
doc_00074,comp.sys.ibm.pc.hardware,2,thread_group_00040,1,1,train
doc_00075,comp.windows.x,4,thread_group_00566,2,1,train
doc_00076,comp.os.ms-windows.misc,1,thread_group_01954,9,1,train
doc_00077,comp.sys.ibm.pc.hardware,2,thread_group_00041,1,1,test
doc_00078,comp.graphics,0,thread_group_00042,5,1,train
doc_00079,comp.sys.mac.hardware,3,thread_group_00043,1,1,test
doc_00080,comp.windows.x,4,thread_group_01864,3,1,train
doc_00081,sci.crypt,5,thread_group_00224,14,1,train
doc_00082,comp.sys.ibm.pc.hardware,2,thread_group_00044,1,1,test
doc_00083,comp.sys.mac.hardware,3,thread_group_01474,3,1,val
doc_00084,sci.electronics,6,thread_group_00045,4,1,test
doc_00085,comp.graphics,0,thread_group_00046,3,1,train
doc_00086,sci.crypt,5,thread_group_00118,234,1,train
doc_00087,comp.windows.x,4,thread_group_00047,1,1,train
doc_00088,comp.sys.mac.hardware,3,thread_group_00048,1,1,train
doc_00089,comp.os.ms-windows.misc,1,thread_group_00049,1,1,train
doc_00090,comp.os.ms-windows.misc,1,thread_group_01124,2,1,train
doc_00091,comp.sys.ibm.pc.hardware,2,thread_group_00631,4,1,train
doc_00092,sci.crypt,5,thread_group_00231,47,1,val
doc_00093,comp.sys.ibm.pc.hardware,2,thread_group_00050,1,1,train
doc_00094,comp.windows.x,4,thread_group_00051,1,1,train
doc_00095,comp.sys.mac.hardware,3,thread_group_00052,1,1,train
doc_00096,comp.windows.x,4,thread_group_00053,4,1,train
doc_00097,comp.sys.mac.hardware,3,thread_group_00036,3,1,train
doc_00098,comp.windows.x,4,thread_group_00609,7,1,test
doc_00099,comp.windows.x,4,thread_group_01881,2,1,test
doc_00100,sci.electronics,6,thread_group_00054,5,1,train
doc_00101,comp.sys.ibm.pc.hardware,2,thread_group_00055,8,1,train
doc_00102,comp.sys.mac.hardware,3,thread_group_00872,13,1,test
doc_00103,sci.electronics,6,thread_group_02204,3,1,train
doc_00104,comp.sys.ibm.pc.hardware,2,thread_group_00056,1,1,val
doc_00105,comp.windows.x,4,thread_group_00057,1,1,train
doc_00106,comp.sys.mac.hardware,3,thread_group_00058,1,1,train
doc_00107,sci.electronics,6,thread_group_02275,21,1,train
doc_00108,comp.os.ms-windows.misc,1,thread_group_00059,5,1,train
doc_00109,sci.electronics,6,thread_group_00060,3,1,train
doc_00110,comp.sys.ibm.pc.hardware,2,thread_group_00055,8,1,train
doc_00111,sci.crypt,5,thread_group_00196,19,1,train
doc_00112,comp.sys.ibm.pc.hardware,2,thread_group_00061,1,1,train
doc_00113,sci.electronics,6,thread_group_00062,3,1,train
doc_00114,comp.windows.x,4,thread_group_00063,2,1,val
doc_00115,comp.os.ms-windows.misc,1,thread_group_00064,3,1,val
doc_00116,comp.graphics,0,thread_group_00065,26,1,train
doc_00117,comp.graphics,0,thread_group_00066,7,1,train
doc_00118,comp.graphics,0,thread_group_00067,2,1,val
doc_00119,sci.crypt,5,thread_group_00068,9,1,train
doc_00120,sci.electronics,6,thread_group_00069,11,1,val
doc_00121,sci.electronics,6,thread_group_00009,6,1,train
doc_00122,comp.sys.mac.hardware,3,thread_group_00070,3,1,train
doc_00123,sci.electronics,6,thread_group_00071,2,1,train
doc_00124,comp.sys.mac.hardware,3,thread_group_00072,1,1,train
doc_00125,comp.os.ms-windows.misc,1,thread_group_00073,1,1,val
