merged_token,attention_score,start_token_index,end_token_index,attention_score_normalized,lime_example_id,doc_id,true_label,baseline_pred,distilbert_pred,model_comparison_outcome
re,0.019549282267689705,1,1,0.02283204375166331,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
:,0.013929870910942554,2,2,0.016269007615656503,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
voice,0.018895676359534264,3,3,0.022068682801271024,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
synth,0.028584599494934082,4,4,0.03338459271063746,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
chips,0.03533432260155678,5,5,0.04126774520553643,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
alltronics,0.07196186017245054,6,8,0.0840458650814007,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
in,0.004678357858210802,9,9,0.005463958719402656,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
san,0.0028282413259148598,10,10,0.0033031662651000038,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
jose,0.007804619614034891,11,11,0.009115189706337646,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
(,0.007686474826186895,12,12,0.00897720576768253,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
408,0.025060421787202358,13,14,0.029268626788729664,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
),0.0033630849793553352,15,15,0.00392782212348081,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
943,0.012616445776075125,16,17,0.014735029041241486,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
-,0.006698129698634148,18,18,0.007822895400425535,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
9773,0.013647471787407994,19,21,0.015939187366724446,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
sells,0.006346443202346563,22,22,0.00741215288005288,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
the,0.01577942632138729,23,23,0.0184291447232062,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
votrax,0.012902994407340884,24,26,0.015069695593008055,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
sc,0.01505297888070345,27,27,0.01758071051872441,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
-,0.010331963188946247,28,28,0.012066930761979,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
01,0.01830008625984192,29,29,0.021373079810428325,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
speech,0.009707198478281498,30,30,0.011337254090832414,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
synthesis,0.014799784868955612,31,31,0.017284999572679077,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
chip,0.035575833171606064,32,32,0.04154981079885839,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
for,0.00032439964707009494,33,33,0.0003788735992200625,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
about,0.0006944432971067727,34,34,0.0008110558497994891,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
$,0.0003520379541441798,35,35,0.0004111529958596194,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
5,0.0004710990178864449,36,36,0.0005502070736134533,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
.,0.051278699189424515,37,37,0.0598895390321501,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
00,0.0006142820930108428,38,38,0.0007174337876673545,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
.,0.2220972329378128,39,39,0.2593923229570705,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
also,0.0016013284912332892,40,40,0.0018702273399085886,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
i,0.0039615812711417675,41,41,0.004626819321033217,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
noticed,0.0026609620545059443,42,42,0.0031077970647755927,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
that,0.0008559430134482682,43,43,0.0009996749785684557,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
radio,0.0065668909810483456,44,44,0.007669618768536923,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
shack,0.005299633368849754,45,45,0.006189560275843934,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
sells,0.00107250374276191,46,46,0.0012526010951836575,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
the,0.009791553020477295,47,47,0.011435773646266382,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
isd,0.02203318476676941,48,49,0.025733049003788908,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
chip,0.03660471364855766,50,50,0.04275146330677766,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
which,0.0019136975752189755,51,51,0.002235050175579426,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
will,0.0022774154786020517,52,52,0.0026598444452407156,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
store,0.005038985516875982,53,53,0.0058851438231807066,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
small,0.00045413532643578947,54,54,0.0005303947991735255,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
amounts,0.0018392488127574325,55,55,0.0021480998017240887,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
of,0.001654630876146257,56,56,0.0019324803867333455,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
digitized,0.010560930706560612,57,58,0.01233434704398344,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
speech,0.007409701589494944,59,59,0.008653956117751167,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
.,0.045635323971509933,60,60,0.05329851496701416,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
good,0.0006343587301671505,61,61,0.0007408817409815637,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
luck,0.0010868184035643935,62,62,0.0012693195075149737,lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct
re,0.00604650005698204,1,1,0.006463808777805477,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
:,0.006180318538099527,2,2,0.0066068629520762605,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
moving,0.01956074684858322,3,3,0.02091076258806998,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
icons,0.10583814233541489,4,4,0.11314272835643376,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
<,0.00025639566592872143,5,5,0.0002740912164728477,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
email,0.0008429277804680169,6,6,0.0009011037683120027,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
>,0.0002003533736569807,7,7,0.0002141810771690164,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
(,0.0013319049030542374,8,8,0.0014238284168413932,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
kirk,0.0017595960525795817,9,9,0.0018810373443926937,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
membry,0.0021347576985135674,10,12,0.002282091361961729,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
),0.058606892824172974,13,13,0.06265173980100391,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
writes,0.0008088100585155189,14,14,0.0008646313580652467,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
:,0.00011084379366366193,15,15,0.00011849385259181603,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
>,0.0003228931745979935,16,16,0.00034517815539420013,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
i,0.0005528877372853458,17,17,0.0005910461549205343,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
remember,0.003010026877745986,18,18,0.003217768621590986,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
reading,0.0006293522892519832,19,19,0.000672788028324172,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
about,0.0008564553572796285,20,20,0.0009155649721345949,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
a,0.0007876402232795954,21,21,0.0008420004533214935,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
program,0.011737539432942867,22,22,0.012547624196064632,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
that,0.0005312537541612983,23,23,0.0005679190683914207,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
made,0.0006325527210719883,24,24,0.0006762093429848788,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
windows,0.30534180998802185,25,25,0.3264154557234382,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
icons,0.048932675272226334,26,26,0.05230984089397174,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
run,0.0001782423205440864,27,27,0.00019054399491469406,lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct
