rank_test_macro_f1,mean_test_macro_f1,mean_test_weighted_f1,mean_test_accuracy,mean_train_macro_f1,mean_train_weighted_f1,mean_train_accuracy,param_tfidf__min_df,param_tfidf__max_df,param_tfidf__ngram_range,param_tfidf__max_features,param_clf__C
1,0.8420437570360422,0.8430694778972608,0.8422090729783037,0.9942885582172417,0.994300623518978,0.9942985135410304,3,0.85,"(1, 2)",30000,3.0
1,0.8420437570360422,0.8430694778972608,0.8422090729783037,0.9942885582172417,0.994300623518978,0.9942985135410304,3,0.75,"(1, 2)",30000,3.0
1,0.8420437570360422,0.8430694778972608,0.8422090729783037,0.9942885582172417,0.994300623518978,0.9942985135410304,3,0.95,"(1, 2)",30000,3.0
4,0.8417305261666931,0.8428597343035041,0.8422090729783037,0.9930657588356466,0.9930814797983507,0.9930767664426797,5,0.95,"(1, 2)",100000,3.0
4,0.8417305261666931,0.8428597343035041,0.8422090729783037,0.9930657588356466,0.9930814797983507,0.9930767664426797,5,0.85,"(1, 2)",30000,3.0
4,0.8417305261666931,0.8428597343035041,0.8422090729783037,0.9930657588356466,0.9930814797983507,0.9930767664426797,5,0.75,"(1, 2)",50000,3.0
4,0.8417305261666931,0.8428597343035041,0.8422090729783037,0.9930657588356466,0.9930814797983507,0.9930767664426797,5,0.85,"(1, 2)",50000,3.0
4,0.8417305261666931,0.8428597343035041,0.8422090729783037,0.9930657588356466,0.9930814797983507,0.9930767664426797,5,0.75,"(1, 2)",30000,3.0
4,0.8417305261666931,0.8428597343035041,0.8422090729783037,0.9930657588356466,0.9930814797983507,0.9930767664426797,5,0.95,"(1, 2)",30000,3.0
4,0.8417305261666931,0.8428597343035041,0.8422090729783037,0.9930657588356466,0.9930814797983507,0.9930767664426797,5,0.85,"(1, 2)",100000,3.0
4,0.8417305261666931,0.8428597343035041,0.8422090729783037,0.9930657588356466,0.9930814797983507,0.9930767664426797,5,0.95,"(1, 2)",50000,3.0
4,0.8417305261666931,0.8428597343035041,0.8422090729783037,0.9930657588356466,0.9930814797983507,0.9930767664426797,5,0.75,"(1, 2)",100000,3.0
13,0.8416778045682461,0.8431432604596418,0.8422090729783037,0.9959247178962144,0.9959277133928578,0.9959275096721645,2,0.85,"(1, 2)",100000,3.0
13,0.8416778045682461,0.8431432604596418,0.8422090729783037,0.9959247178962144,0.9959277133928578,0.9959275096721645,2,0.95,"(1, 2)",100000,3.0
13,0.8416778045682461,0.8431432604596418,0.8422090729783037,0.9959247178962144,0.9959277133928578,0.9959275096721645,2,0.75,"(1, 2)",100000,3.0
16,0.840067380928109,0.8410547056153734,0.8402366863905325,0.9947017779152771,0.9947072734119292,0.9947057625738139,3,0.75,"(1, 2)",100000,3.0
16,0.840067380928109,0.8410547056153734,0.8402366863905325,0.9947017779152771,0.9947072734119292,0.9947057625738139,3,0.85,"(1, 2)",100000,3.0
16,0.840067380928109,0.8410547056153734,0.8402366863905325,0.9947017779152771,0.9947072734119292,0.9947057625738139,3,0.95,"(1, 2)",100000,3.0
16,0.840067380928109,0.8410547056153734,0.8402366863905325,0.9947017779152771,0.9947072734119292,0.9947057625738139,3,0.85,"(1, 2)",50000,3.0
16,0.840067380928109,0.8410547056153734,0.8402366863905325,0.9947017779152771,0.9947072734119292,0.9947057625738139,3,0.75,"(1, 2)",50000,3.0
16,0.840067380928109,0.8410547056153734,0.8402366863905325,0.9947017779152771,0.9947072734119292,0.9947057625738139,3,0.95,"(1, 2)",50000,3.0
22,0.839740992123944,0.8411033123113356,0.8402366863905325,0.9953116355377455,0.9953182004747623,0.9953166361229893,2,0.95,"(1, 2)",50000,3.0
22,0.839740992123944,0.8411033123113356,0.8402366863905325,0.9953116355377455,0.9953182004747623,0.9953166361229893,2,0.75,"(1, 2)",50000,3.0
22,0.839740992123944,0.8411033123113356,0.8402366863905325,0.9953116355377455,0.9953182004747623,0.9953166361229893,2,0.85,"(1, 2)",50000,3.0
25,0.8388101697491877,0.8400165172654238,0.8392504930966469,0.9946934972370943,0.9947084860155936,0.9947057625738139,2,0.95,"(1, 2)",30000,3.0
25,0.8388101697491877,0.8400165172654238,0.8392504930966469,0.9946934972370943,0.9947084860155936,0.9947057625738139,2,0.85,"(1, 2)",30000,3.0
25,0.8388101697491877,0.8400165172654238,0.8392504930966469,0.9946934972370943,0.9947084860155936,0.9947057625738139,2,0.75,"(1, 2)",30000,3.0
28,0.836847409763747,0.8384004006359282,0.8372781065088757,0.981060457648464,0.9810931693503899,0.981062919975565,2,0.75,"(1, 2)",50000,1.0
28,0.836847409763747,0.8384004006359282,0.8372781065088757,0.981060457648464,0.9810931693503899,0.981062919975565,2,0.85,"(1, 2)",50000,1.0
28,0.836847409763747,0.8384004006359282,0.8372781065088757,0.981060457648464,0.9810931693503899,0.981062919975565,2,0.95,"(1, 2)",50000,1.0
31,0.8358648319724834,0.8372616560489299,0.8362919132149902,0.9779967884054012,0.9780401779810581,0.9780085522296884,3,0.85,"(1, 2)",100000,1.0
31,0.8358648319724834,0.8372616560489299,0.8362919132149902,0.9779967884054012,0.9780401779810581,0.9780085522296884,3,0.75,"(1, 2)",50000,1.0
31,0.8358648319724834,0.8372616560489299,0.8362919132149902,0.9779967884054012,0.9780401779810581,0.9780085522296884,3,0.95,"(1, 2)",50000,1.0
