text_regime,true_label,pred_label,n_errors,share_of_true_class
text_metadata_rich_no_leakage,sci.electronics,comp.sys.ibm.pc.hardware,10,0.060240963855421686
text_metadata_rich_no_leakage,sci.electronics,comp.graphics,9,0.05421686746987952
text_metadata_rich_no_leakage,comp.os.ms-windows.misc,sci.electronics,7,0.04964539007092199
text_metadata_rich_no_leakage,comp.windows.x,comp.graphics,7,0.04929577464788732
text_metadata_rich_no_leakage,comp.sys.ibm.pc.hardware,comp.os.ms-windows.misc,7,0.04861111111111111
text_metadata_rich_no_leakage,comp.sys.ibm.pc.hardware,sci.electronics,7,0.04861111111111111
text_metadata_rich_no_leakage,comp.graphics,comp.os.ms-windows.misc,6,0.046153846153846156
text_metadata_rich_no_leakage,comp.sys.ibm.pc.hardware,comp.graphics,6,0.041666666666666664
text_metadata_rich_no_leakage,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,6,0.041666666666666664
text_metadata_rich_no_leakage,comp.graphics,comp.sys.ibm.pc.hardware,5,0.038461538461538464
text_subject_body_clean,sci.crypt,comp.graphics,12,0.07947019867549669
text_subject_body_clean,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,11,0.0763888888888889
text_subject_body_clean,comp.windows.x,comp.graphics,10,0.07042253521126761
text_subject_body_clean,comp.sys.ibm.pc.hardware,sci.electronics,9,0.0625
text_subject_body_clean,comp.sys.mac.hardware,sci.electronics,8,0.05714285714285714
text_subject_body_clean,comp.os.ms-windows.misc,comp.graphics,8,0.05673758865248227
text_subject_body_clean,comp.os.ms-windows.misc,sci.electronics,8,0.05673758865248227
text_subject_body_clean,comp.sys.ibm.pc.hardware,comp.graphics,8,0.05555555555555555
text_subject_body_clean,comp.windows.x,comp.os.ms-windows.misc,7,0.04929577464788732
text_subject_body_clean,comp.sys.ibm.pc.hardware,comp.os.ms-windows.misc,7,0.04861111111111111
text_body_only_clean,comp.sys.ibm.pc.hardware,comp.os.ms-windows.misc,13,0.09027777777777778
text_body_only_clean,comp.windows.x,comp.graphics,12,0.08450704225352113
text_body_only_clean,comp.sys.mac.hardware,sci.electronics,11,0.07857142857142857
text_body_only_clean,comp.os.ms-windows.misc,comp.graphics,11,0.07801418439716312
text_body_only_clean,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,11,0.0763888888888889
text_body_only_clean,comp.graphics,comp.sys.ibm.pc.hardware,10,0.07692307692307693
text_body_only_clean,comp.sys.ibm.pc.hardware,sci.electronics,10,0.06944444444444445
text_body_only_clean,sci.electronics,comp.graphics,10,0.060240963855421686
text_body_only_clean,comp.os.ms-windows.misc,sci.electronics,9,0.06382978723404255
text_body_only_clean,comp.sys.ibm.pc.hardware,comp.graphics,9,0.0625
text_subject_body_no_quotes,comp.os.ms-windows.misc,comp.graphics,13,0.09219858156028368
text_subject_body_no_quotes,comp.windows.x,comp.graphics,12,0.08450704225352113
text_subject_body_no_quotes,comp.sys.ibm.pc.hardware,comp.os.ms-windows.misc,12,0.08333333333333333
text_subject_body_no_quotes,comp.sys.mac.hardware,sci.electronics,10,0.07142857142857142
text_subject_body_no_quotes,comp.sys.ibm.pc.hardware,sci.electronics,9,0.0625
text_subject_body_no_quotes,sci.crypt,comp.graphics,9,0.059602649006622516
text_subject_body_no_quotes,comp.sys.ibm.pc.hardware,comp.graphics,8,0.05555555555555555
text_subject_body_no_quotes,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,8,0.05555555555555555
text_subject_body_no_quotes,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,7,0.04964539007092199
text_subject_body_no_quotes,sci.crypt,sci.electronics,7,0.046357615894039736
